Tree,Elevation,Length,seg_num,branch_num
7,567,18,3,4
7,567,15,2,4
7,567,20,1,4
7,567,18,5,5
7,567,26,4,5
7,567,21,3,5
7,567,19,2,5
7,567,24,1,5
7,567,31,5,6
7,567,25,4,6
7,567,19,3,6
7,567,29,2,6
7,567,15,1,6
7,567,21,5,7
7,567,19,4,7
7,567,16,3,7
7,567,16,2,7
7,567,14,1,7
7,567,22,5,8
7,567,15,4,8
7,567,14,3,8
7,567,14,2,8
7,567,11,1,8
7,567,20,5,9
7,567,14,4,9
7,567,15,3,9
7,567,23,2,9
7,567,14,1,9
7,567,17,5,10
7,567,20,4,10
7,567,14,3,10
7,567,19,2,10
7,567,17,1,10
8,563,2,5,1
8,563,11,4,1
8,563,12,3,1
8,563,15,2,1
8,563,10,1,1
8,563,13,5,2
8,563,12,4,2
8,563,11,3,2
8,563,16,2,2
8,563,13,1,2
8,563,5,5,3
8,563,10,4,3
8,563,16,3,3
8,563,15,2,3
8,563,8,1,3
8,563,10,5,4
8,563,9,4,4
8,563,11,3,4
8,563,13,2,4
8,563,7,1,4
8,563,17,5,5
8,563,15,4,5
8,563,15,3,5
8,563,15,2,5
8,563,25,1,5
8,563,15,5,6
8,563,14,4,6
8,563,12,3,6
8,563,18,2,6
8,563,17,1,6
8,563,12,5,7
8,563,11,4,7
8,563,9,3,7
8,563,13,2,7
8,563,21,1,7
8,563,19,5,8
8,563,14,4,8
8,563,10,3,8
8,563,14,2,8
8,563,24,1,8
8,563,10,5,9
8,563,14,4,9
8,563,13,3,9
8,563,17,2,9
8,563,19,1,9
8,563,4,5,10
8,563,15,4,10
8,563,14,3,10
8,563,7,2,10
8,563,11,1,10
9,559,14,5,1
9,559,7,4,1
9,559,17,3,1
9,559,13,2,1
9,559,10,1,1
9,559,10,5,2
9,559,5,4,2
9,559,8,3,2
9,559,10,2,2
9,559,19,1,2
9,559,14,5,3
9,559,8,4,3
9,559,16,3,3
9,559,13,2,3
9,559,10,1,3
9,559,8,5,4
9,559,10,4,4
9,559,15,3,4
9,559,14,2,4
9,559,9,1,4
9,559,9,5,5
9,559,15,4,5
9,559,15,3,5
9,559,5,2,5
9,559,15,1,5
9,559,11,5,6
9,559,12,4,6
9,559,6,3,6
9,559,8,2,6
9,559,12,1,6
9,559,10,5,7
9,559,8,4,7
9,559,14,3,7
9,559,5,2,7
9,559,7,1,7
9,559,14,5,8
9,559,11,4,8
9,559,12,3,8
9,559,10,2,8
9,559,20,1,8
9,559,22,5,9
9,559,17,4,9
9,559,2,3,9
9,559,7,2,9
9,559,12,1,9
9,559,8,5,10
9,559,5,4,10
9,559,13,3,10
9,559,13,2,10
9,559,7,1,10
10,557,9,5,1
10,557,21,4,1
10,557,18,3,1
10,557,16,2,1
10,557,15,1,1
10,557,13,5,2
10,557,21,4,2
10,557,21,3,2
10,557,17,2,2
10,557,11,1,2
10,557,6,5,3
10,557,18,4,3
10,557,9,3,3
10,557,15,2,3
10,557,15,1,3
10,557,14,5,4
10,557,19,4,4
10,557,17,3,4
10,557,20,2,4
10,557,20,1,4
10,557,17,5,5
10,557,11,4,5
10,557,8,3,5
10,557,25,2,5
10,557,14,1,5
10,557,19,5,6
10,557,18,4,6
10,557,16,3,6
10,557,17,2,6
10,557,14,1,6
10,557,17,5,7
10,557,19,4,7
10,557,15,3,7
10,557,20,2,7
10,557,6,1,7
