Tree,Elevation,Intra_Dis,Height,Circumference,Number_Branches,BranchLength_IQR,Median_BranchLength,Num_Nodes,Inter_Dis,Inter_ID,Inter_Plant_Group,Arroyo_ID,Arroyo_Dis,Terminal_SegIQR,X1m_ID1,X1m_CID_type1,1m_Num1,X1m_ID2,X1m_CID_type2,X1m_Num2,X1m_ID3,X1m_CID_type3,X1m_Num3,X1m_ID4,X1m_CID_type4,X1m_Num4,T1m_NumShrub,T1m_NumCacti,R1m_shrub2cactus,T1m_sum,Latitude,Longitude
14,542,1.83,3,2.7,11,143.25,245,102,0.65,TriangleLeafBursage,shrub,87363,180.4554579,8.75,CanyonRagweed,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1,31.94541,-112.812
15,540,9.48,2.6,7.2,55,90.75,237.5,164,2.13,OrganPipe,cactus,87363,167.8587975,9,FishhookMammillaria,cactus,1,TriangleLeafBursage,shrub,5,NA,NA,0,NA,NA,0,5,1,0.83,6,31.94549,-112.81216
16,538,2.7,2.05,6.9,34,70.5,254,161,2.41,Limberbush,shrub,87363,144.1637453,6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.94561,-112.81248
17,537,8,2.47,5.41,25,82.5,232.5,144,3.75,OrganPipe,cactus,87363,153.9654348,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.94525,-112.81225
18,536,6.88,3.5,5.5,25,42,311.5,203,2.75,OrganPipe,cactus,87363,146.3757592,9.5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.94522,-112.81232
19,533,14.7,3.25,7.1,31,48.25,272,184,2.6,PencilCholla,cactus,87363,139.8893187,8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.94504,-112.81239
20,532,9.8,2.2,3.15,23,61.75,218,165,2.2,Saguaro,cactus,87363,127.5864995,5.75,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.94515,-112.81252
21,504,17.1,3.97,4.7,14,128.75,359.5,239,1.31,Creosote,shrub,87363,263.016778,7.25,TriangleLeafBursage,shrub,1,NA,NA,0,NA,NA,0,NA,NA,0,1,0,1,1,31.93778,-112.81116
22,501,8.51,3.47,2.8,21,74.25,286,190,4.97,JumpingCholla,cactus,87363,169.4965041,7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,0,NA,0,31.93773,-112.81226
23,503,6.1,2.87,5.35,15,26,268.5,232,0.83,Saguaro,cactus,87363,163.5254854,5.75,TriangleLeafBursage,shrub,3,Saguaro,cactus,1,NA,NA,0,NA,NA,0,3,1,0.75,4,31.93759,-112.81225
24,503,29.52,4.21,6.29,27,48.5,323.5,216,0.25,Creosote,shrub,87363,110.3347389,9.5,Creosote,shrub,2,NA,NA,0,NA,NA,0,NA,NA,0,2,0,1,2,31.93714,-112.8126
25,504,7.7,3.8,6.3,32,40.25,348.5,231,4.55,Saguaro,cactus,87363,154.4858098,10.75,TriangleLeafBursage,shrub,3,Creosote,shrub,2,NA,NA,0,NA,NA,0,3,2,0.6,5,31.93632,-112.81178
26,506,2.3,4.95,4.46,34,27,329,267,2.45,Saguaro,cactus,87363,29.00912532,6,Creosote,shrub,2,TriangleLeafBursage,shrub,2,NA,NA,0,NA,NA,0,2,2,0.5,4,32.01957,-112.72478
27,505,15.85,4.53,4.5,36,128.25,278.5,163,5.25,Saguaro,cactus,87363,9.269526607,7,TriangleLeafBursage,shrub,3,NA,NA,0,NA,NA,0,NA,NA,0,3,0,1,3,32.01968,-112.72458
