"dataset","Best Fit Model","Significant Vars (p < 0.05)"
"all","logIntraD = 1.91 + 0.15 Height_c + 0.35 Circ_c - 0.01 Elevation_c + 0.56 Height_c*Circ_c + 0.01 Circ_c*Elevation_c","Circ_c and Height_c*Circ_c | Elevation_c and Circ_c*Elevation_c are marginally sig (p < 0.10)"
"bajada","logIntraD = 2.01 + 0.01 NBranch_c - 0.13 Inter_Dis_c - 0.02 Elevation_c - 0.06 NBranch_c*Inter_Dis_c","Elevation_c and NBranch_c*Inter_Dis_c"
"all","logInterD = 0.476 - 0.004 Arroyo_c","Arroyo_c is marginally significant (p=0.054)"
"bajada","logInterD = 0.562 - 0.005 Arroyo_c","Arroyo_c"
